,Name,Pret,Currency,Nr of reviews,Image
27,"Masa bucatarie plianta, dreptunghiulara, 8 persoane, wenge, 25 / 177 x 78 x 80 cm, 1C",419.00 lei/bucata, lei/bucata,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/m/a/masa_plianta_wenge_8064577_2_.jpg
28,"Masa bucatarie plianta, dreptunghiulara, 8 persoane, sherwood, 25 / 177 x 78 x 80 cm, 1C",419.00 lei/bucata, lei/bucata,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/m/a/masa_plianta_sherwood_8064578_2_.jpg
29,"Masa bucatarie fixa Celine, dreptunghiulara, din sticla, 120 x 70 x 72 cm, 1C",479.00 lei/bucata,lei/bucata,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8061496-2.jpg
30,"Masa fixa cu 4 tabureti tapitati Mia, bucatarie, stejar bardolino + maro, 108 x 68 x 76 cm, 1C",479.00 lei/bucata, lei/bucata,['2'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/m/i/mia-stejar-bardolino.jpg
31,"Masa bucatarie fixa London, dreptunghiulara, 4 persoane, alb + fag, 120 x 80 x 70.5 cm, 1C",499.00 lei/bucata,lei/bucata,['4'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8052176-0_1.jpg
32,"Masa bucatarie extensibila Ambasador, dreptunghiulara, 6 persoane, sonoma inchis, 120 / 160 x 68 x 76 cm, 2C",548.99 lei/bucata, lei/bucata,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8046418_1_1.jpg
33,"Masa bucatarie fixa Astro, dreptunghiulara, 6 persoane, alb, 110 x 70 x 74 cm, 1C",559.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8094336.png
34,"Masa bucatarie plianta, cu role + loc scaune, dreptunghiulara, 8 persoane, sherwood, 34 / 180 x 92 x 80 cm, 1C",559.00 lei/bucata, lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/m/a/masa_plianta_cu_role_si_loc_de_scaune_sherwood_8064575_3_.jpg
35,"Masa bucatarie plianta, cu role + loc scaune, dreptunghiulara, 8 persoane, wenge, 34 / 180 x 92 x 80 cm, 1C",559.00 lei/bucata, lei/bucata,['9'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/m/a/masa_plianta_cu_role_si_loc_scaune_wenge_8060187_3_.jpg
36,"Masa bucatarie extensibila DT, dreptunghiulara, 6 persoane, alba, 120 / 153 x 80 x 75 cm, 1C",578.99 lei/bucata, lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8029907.jpg
37,"Masa bucatarie fixa Astro, dreptunghiulara, 6 persoane, nuc furniruit, 110 x 70 x 74 cm, 1C",579.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8094330.png
38,"Set masa fixa cu 4 scaune AA0200, bucatarie, natur",599.00 lei/bucata, lei/bucata,['6'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8042689_1_1.jpg
39,"Masa bucatarie fixa Astro, dreptunghiulara, 6 persoane, nuc, 135 x 80 x 74 cm, 1C",629.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8094338.png
40,"Masa bucatarie fixa Sofia, dreptunghiulara, 8 persoane, pin antichizat + antracit, 160 x 85 x 75 cm, 1C",689.00 lei/bucata, lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8062922-60.jpg
41,"Masa bucatarie fixa Sofia, dreptunghiulara, 8 persoane, sherwood + antracit, 160 x 85 x 75 cm, 1C",689.00 lei/bucata, lei/bucata,['3'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8062920_masa_sofia_sherwood_antracit_3_.jpg
42,"Masa bucatarie extensibila Consuela, dreptunghiulara, 6 persoane, wenge, 134 / 186 x 80 x 76 cm, 1C",739.00 lei/bucata, lei/bucata,['4'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8035117.jpg
43,"Masa bucatarie extensibila Consuela, dreptunghiulara, 6 persoane, sherwood, 134 / 186 x 80 x 76 cm, 1C",739.00 lei/bucata, lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8066207-2.jpg
44,"Masa bucatarie fixa Astro, dreptunghiulara, 6 persoane, alb, 135 x 80 x 74 cm, 1C",799.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8094337.png
45,"Set masa fixa cu 6 scaune tapitate AA0170, bucatarie, fag + bej, 1C",949.00 lei/bucata, lei/bucata,['4'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8042301_1_1.png
46,"Set masa fixa cu 6 scaune tapitate AA0180, bucatarie, maro + negru, 1C",949.00 lei/bucata, lei/bucata,['9'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8042302_1_1.png
47,"Masa bucatarie fixa Torino, dreptunghiulara, 6 persoane, neagra, 210 x 100 x 78 cm, 1C",1269.00 lei/bucata, lei/bucata,['9'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8000658.jpg
48,"Bucatarie Diana, alb + stejar A458 + crem, 200 cm, 3C",1299.00 lei/bucata, lei/bucata,['21'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8052021_2.jpg
49,"Bucatarie Leona, stejar gri + gri grafit, 180 cm, 3C",1299.00 lei/bucata, lei/bucata,['6'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/1/1/11008882_kuhinja-leona-180_sh_gs_f_radna-ploca_dekoracija.jpg
50,"Masa bucatarie fixa Medor, rotunda, 4 persoane, gri carbon + negru, 120 x 120 x 76 cm, 2C",1349.00 lei/bucata, lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8094369.png
51,"Set masa extensibila cu 6 scaune tapitate Gold 825, bucatarie, model mozaic, maro + bej, 3C",1399.00 lei/bucata, lei/bucata,['2'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8064242-3_1.jpg
52,"Set masa extensibila cu 6 scaune tapitate Gold 543, bucatarie, model sah, alb + bej, 3C",1399.00 lei/bucata, lei/bucata,['3'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8064243-1.jpg
53,"Set masa plianta cu 6 scaune Cucina, bucatarie, natur, 2C",1399.00 lei/bucata,lei/bucata,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8006210_1.jpg
54,"Set masa extensibila cu 6 scaune tapitate Gold 855, bucatarie, model litere, rosu + bej, 3C",1399.00 lei/bucata, lei/bucata,['3'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8064241-1.jpg
55,"Set masa extensibila cu 6 scaune tapitate Gold 437, bucatarie, model turcoaz + alb, 3C",1399.00 lei/bucata, lei/bucata,['5'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8064244-1.jpg
56,"Set masa plianta cu 6 scaune Cucina, bucatarie, maro-trufa, 2C",1399.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8053259.jpg
